_Pave,LotShape,LandContour,Utilities,LandSlope,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,CentralAir,KitchenQual,Functional,GarageFinish,GarageQual,PavedDrive,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtFinSF2,BsmtUnfSF,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageYrBlt,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,MSSubClass,GarageArea,SalePrice,KitchenAbvGr,BedroomAbvGr,TotalBsmtSF,MSZoning,Neighborhood,Condition1,Condition2,HouseStyle,RoofStyle,LotConfig,BldgType,RoofMatl,Exterior1st,MasVnrType,Foundation,Heating,Electrical,GarageType,SaleType,SaleCondition
1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,4.0,1.0,2.0,7.0,1.0,2.0,2.0,70.0,11200.0,5.0,5.0,1965.0,1965.0,0.0,906.0,0.0,134.0,1040.0,0.0,0.0,1040.0,1.0,0.0,1.0,0.0,5.0,0.0,1965.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2008.0,20.0,384.0,129500.0,1.0,3.0,1040.0,3.0,19.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,6.0,2.0,1.0,1.0,4.0,5.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,0.0,5.0,0.0,4.0,1.0,4.0,7.0,3.0,2.0,2.0,85.0,11924.0,9.0,5.0,2005.0,2006.0,286.0,998.0,0.0,177.0,1182.0,1142.0,0.0,2324.0,1.0,0.0,3.0,0.0,11.0,2.0,2005.0,147.0,21.0,0.0,0.0,0.0,0.0,0.0,7.0,2006.0,60.0,736.0,345000.0,1.0,4.0,1175.0,3.0,16.0,2.0,2.0,5.0,3.0,4.0,0.0,1.0,14.0,3.0,2.0,1.0,4.0,3.0,6.0,5.0
1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,2.0,1.0,2.0,7.0,1.0,2.0,2.0,75.16710467426566,12968.0,5.0,6.0,1962.0,1962.0,0.0,737.0,0.0,175.0,912.0,0.0,0.0,912.0,1.0,0.0,1.0,0.0,4.0,0.0,1962.0,140.0,0.0,0.0,0.0,176.0,0.0,0.0,9.0,2008.0,20.0,352.0,144000.0,1.0,2.0,912.0,3.0,19.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,6.0,2.0,1.0,1.0,4.0,5.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,2.0,91.0,10652.0,7.0,5.0,2006.0,2007.0,306.0,0.0,0.0,1494.0,1494.0,0.0,0.0,1494.0,0.0,0.0,2.0,0.0,7.0,1.0,2006.0,160.0,33.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,20.0,840.0,279500.0,1.0,3.0,1494.0,3.0,5.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,12.0,3.0,2.0,1.0,4.0,1.0,6.0,5.0
1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,1.0,2.0,7.0,2.0,2.0,2.0,76.51211303416241,10920.0,6.0,5.0,1960.0,1960.0,212.0,733.0,0.0,520.0,1253.0,0.0,0.0,1253.0,1.0,0.0,1.0,1.0,5.0,1.0,1960.0,0.0,213.0,176.0,0.0,0.0,0.0,0.0,5.0,2008.0,20.0,352.0,157000.0,1.0,2.0,1253.0,3.0,12.0,2.0,2.0,2.0,3.0,0.0,0.0,1.0,8.0,1.0,1.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,7.0,1.0,2.0,2.0,51.0,6120.0,7.0,8.0,1929.0,2001.0,0.0,0.0,0.0,832.0,854.0,0.0,0.0,854.0,0.0,0.0,1.0,0.0,5.0,0.0,1991.0,48.0,112.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,45.0,576.0,132000.0,1.0,2.0,832.0,4.0,3.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,13.0,2.0,0.0,1.0,0.0,5.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,4.0,0.0,4.0,1.0,2.0,7.0,3.0,2.0,2.0,90.00100035267731,11241.0,6.0,7.0,1970.0,1970.0,180.0,578.0,0.0,426.0,1004.0,0.0,0.0,1004.0,1.0,0.0,1.0,0.0,5.0,1.0,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,3.0,2010.0,20.0,480.0,149000.0,1.0,2.0,1004.0,3.0,12.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,13.0,1.0,1.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,1.0,2.0,7.0,1.0,2.0,2.0,72.0,10791.0,4.0,5.0,1967.0,1967.0,0.0,0.0,0.0,0.0,1296.0,0.0,0.0,1296.0,0.0,0.0,2.0,0.0,6.0,0.0,1967.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,10.0,2006.0,90.0,516.0,90000.0,2.0,2.0,0.0,3.0,19.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,8.0,2.0,3.0,1.0,4.0,4.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,5.0,0.0,4.0,1.0,3.0,7.0,1.0,2.0,2.0,66.0,13695.0,5.0,5.0,2004.0,2004.0,0.0,646.0,0.0,468.0,1114.0,0.0,0.0,1114.0,1.0,0.0,1.0,1.0,6.0,0.0,2004.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,20.0,576.0,159000.0,1.0,3.0,1114.0,3.0,20.0,5.0,2.0,2.0,1.0,4.0,0.0,1.0,12.0,2.0,2.0,1.0,4.0,5.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,2.0,1.0,2.0,6.0,1.0,2.0,2.0,70.0,7560.0,5.0,6.0,1958.0,1965.0,0.0,504.0,0.0,525.0,1339.0,0.0,0.0,1339.0,0.0,0.0,1.0,0.0,6.0,0.0,1958.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2009.0,20.0,294.0,139000.0,1.0,3.0,1029.0,3.0,12.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,0.0,0.0
1.0,2.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,2.0,101.0,14215.0,8.0,5.0,2005.0,2006.0,380.0,0.0,0.0,1158.0,1158.0,1218.0,0.0,2376.0,0.0,0.0,3.0,1.0,9.0,1.0,2005.0,240.0,154.0,0.0,0.0,0.0,0.0,0.0,11.0,2006.0,60.0,853.0,325300.0,1.0,4.0,1158.0,3.0,16.0,2.0,2.0,5.0,1.0,0.0,0.0,1.0,12.0,1.0,2.0,1.0,4.0,3.0,6.0,5.0
1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,7.0,1.0,2.0,0.0,57.0,7449.0,7.0,7.0,1930.0,1950.0,0.0,0.0,0.0,637.0,1108.0,0.0,0.0,1108.0,0.0,0.0,1.0,0.0,6.0,1.0,1930.0,0.0,0.0,205.0,0.0,0.0,0.0,0.0,6.0,2007.0,45.0,280.0,139400.0,1.0,3.0,637.0,4.0,9.0,2.0,2.0,1.0,1.0,4.0,0.0,1.0,13.0,2.0,2.0,1.0,1.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,2.0,75.0,9742.0,8.0,5.0,2002.0,2002.0,281.0,0.0,0.0,1777.0,1795.0,0.0,0.0,1795.0,0.0,0.0,2.0,0.0,7.0,1.0,2002.0,171.0,159.0,0.0,0.0,0.0,0.0,0.0,9.0,2008.0,20.0,534.0,230000.0,1.0,3.0,1777.0,3.0,5.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,12.0,1.0,2.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,5.0,0.0,2.0,1.0,2.0,7.0,1.0,2.0,2.0,44.0,4224.0,5.0,7.0,1976.0,1976.0,0.0,840.0,0.0,200.0,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,6.0,1.0,1976.0,100.0,110.0,0.0,0.0,0.0,0.0,0.0,6.0,2007.0,120.0,572.0,129900.0,1.0,3.0,1040.0,4.0,10.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,5.0,2.0,2.0,1.0,4.0,1.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,7.0,1.0,2.0,2.0,69.9422012330288,8246.0,5.0,8.0,1968.0,2001.0,0.0,188.0,668.0,204.0,1060.0,0.0,0.0,1060.0,1.0,0.0,1.0,0.0,6.0,1.0,1968.0,406.0,90.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,20.0,270.0,154000.0,1.0,3.0,1060.0,3.0,19.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,9.0,2.0,1.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,2.0,110.0,14230.0,8.0,5.0,2007.0,2007.0,640.0,0.0,0.0,1566.0,1600.0,0.0,0.0,1600.0,0.0,0.0,2.0,0.0,7.0,1.0,2007.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,7.0,2009.0,20.0,890.0,256300.0,1.0,3.0,1566.0,3.0,16.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,12.0,3.0,2.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,1.0,3.0,7.0,1.0,2.0,2.0,60.0,7200.0,5.0,7.0,1951.0,2000.0,0.0,234.0,486.0,180.0,900.0,0.0,0.0,900.0,0.0,1.0,1.0,0.0,5.0,0.0,2005.0,222.0,32.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,20.0,576.0,134800.0,1.0,3.0,900.0,3.0,12.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,13.0,2.0,1.0,1.0,4.0,5.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,0.0,5.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,2.0,98.0,11478.0,8.0,5.0,2007.0,2008.0,200.0,1218.0,0.0,486.0,1704.0,0.0,0.0,1704.0,1.0,0.0,2.0,0.0,7.0,1.0,2008.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,5.0,2010.0,20.0,772.0,306000.0,1.0,3.0,1704.0,3.0,16.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,12.0,3.0,2.0,1.0,4.0,1.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,1.0,2.0,7.0,2.0,2.0,2.0,47.0,16321.0,5.0,6.0,1957.0,1997.0,0.0,1277.0,0.0,207.0,1600.0,0.0,0.0,1600.0,1.0,0.0,1.0,0.0,6.0,2.0,1957.0,288.0,258.0,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,20.0,319.0,207500.0,1.0,2.0,1484.0,3.0,12.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,8.0,2.0,1.0,1.0,4.0,1.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,1.0,1.0,2.0,60.0,6324.0,4.0,6.0,1927.0,1950.0,0.0,0.0,0.0,520.0,520.0,0.0,0.0,520.0,0.0,0.0,1.0,0.0,4.0,0.0,1920.0,49.0,0.0,87.0,0.0,0.0,0.0,0.0,5.0,2008.0,30.0,240.0,68500.0,1.0,1.0,520.0,4.0,3.0,1.0,7.0,2.0,1.0,4.0,0.0,1.0,8.0,2.0,0.0,1.0,4.0,5.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,1.0,2.0,0.0,50.0,8500.0,4.0,4.0,1920.0,1950.0,0.0,0.0,0.0,649.0,649.0,668.0,0.0,1317.0,0.0,0.0,1.0,0.0,6.0,0.0,1920.0,0.0,54.0,172.0,0.0,0.0,0.0,0.0,7.0,2008.0,70.0,250.0,40000.0,1.0,3.0,649.0,0.0,9.0,1.0,2.0,5.0,2.0,4.0,0.0,1.0,3.0,2.0,0.0,1.0,4.0,5.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,1.0,3.0,7.0,1.0,2.0,2.0,68.48371398755704,8544.0,5.0,6.0,1966.0,2006.0,0.0,0.0,0.0,1228.0,1228.0,0.0,0.0,1228.0,0.0,0.0,1.0,1.0,6.0,0.0,1966.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,20.0,271.0,149350.0,1.0,3.0,1228.0,3.0,19.0,2.0,2.0,2.0,1.0,1.0,0.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,7.0,2.0,2.0,2.0,85.0,11049.0,8.0,5.0,2007.0,2007.0,0.0,0.0,0.0,1234.0,1234.0,0.0,0.0,1234.0,0.0,0.0,2.0,0.0,7.0,0.0,2007.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,1.0,2008.0,20.0,484.0,179900.0,1.0,3.0,1234.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,12.0,2.0,2.0,1.0,4.0,1.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,3.0,7.0,2.0,2.0,2.0,70.0,10552.0,5.0,5.0,1959.0,1959.0,0.0,1018.0,0.0,380.0,1700.0,0.0,0.0,1700.0,0.0,1.0,1.0,1.0,6.0,1.0,1959.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,4.0,2010.0,20.0,447.0,165500.0,1.0,4.0,1398.0,3.0,12.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,3.0,2.0,1.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,4.0,2.0,4.0,2.0,0.0,5.0,0.0,4.0,1.0,4.0,7.0,3.0,2.0,2.0,60.0,7313.0,9.0,5.0,2005.0,2005.0,246.0,1153.0,0.0,408.0,1561.0,0.0,0.0,1561.0,1.0,0.0,2.0,0.0,6.0,1.0,2005.0,203.0,47.0,0.0,0.0,0.0,0.0,0.0,8.0,2007.0,120.0,556.0,277500.0,1.0,2.0,1561.0,3.0,16.0,2.0,2.0,2.0,3.0,4.0,4.0,1.0,8.0,1.0,2.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,2.0,2.0,0.0,0.0,4.0,1.0,3.0,7.0,3.0,2.0,2.0,108.0,13418.0,8.0,5.0,2004.0,2005.0,132.0,0.0,0.0,1117.0,1132.0,1320.0,0.0,2452.0,0.0,0.0,3.0,1.0,9.0,1.0,2004.0,113.0,32.0,0.0,0.0,0.0,0.0,0.0,9.0,2006.0,60.0,691.0,309000.0,1.0,4.0,1117.0,3.0,16.0,2.0,2.0,5.0,1.0,4.0,0.0,1.0,12.0,3.0,2.0,1.0,4.0,3.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,0.0,0.0,0.0,4.0,1.0,2.0,7.0,1.0,2.0,2.0,112.0,10859.0,5.0,5.0,1994.0,1995.0,0.0,0.0,0.0,1097.0,1097.0,0.0,0.0,1097.0,0.0,0.0,1.0,1.0,6.0,0.0,1995.0,392.0,64.0,0.0,0.0,0.0,0.0,0.0,6.0,2009.0,20.0,672.0,145000.0,1.0,3.0,1097.0,3.0,5.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,12.0,2.0,2.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,3.0,1.0,2.0,7.0,3.0,2.0,2.0,74.0,8532.0,5.0,6.0,1954.0,1990.0,650.0,1213.0,0.0,84.0,1297.0,0.0,0.0,1297.0,0.0,1.0,1.0,0.0,5.0,1.0,1954.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2009.0,20.0,498.0,153000.0,1.0,3.0,1297.0,3.0,12.0,2.0,2.0,2.0,3.0,4.0,0.0,1.0,13.0,1.0,1.0,1.0,4.0,1.0,8.0,4.0
1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,0.0,5.0,0.0,2.0,1.0,3.0,7.0,1.0,2.0,2.0,68.0,7922.0,5.0,7.0,1953.0,2007.0,0.0,731.0,0.0,326.0,1057.0,0.0,0.0,1057.0,1.0,0.0,1.0,0.0,5.0,0.0,1953.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,1.0,2010.0,20.0,246.0,109000.0,1.0,3.0,1057.0,3.0,12.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,12.0,2.0,1.0,1.0,4.0,5.0,8.0,0.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,7.0,0.0,-1.0,0.0,65.0,6040.0,4.0,5.0,1955.0,1955.0,0.0,0.0,0.0,0.0,1152.0,0.0,0.0,1152.0,0.0,0.0,2.0,0.0,6.0,0.0,1949.1450874380655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2008.0,90.0,0.0,82000.0,2.0,2.0,0.0,3.0,7.0,2.0,2.0,2.0,1.0,4.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,3.343496314627946,8.0,1.0
1.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,3.0,0.0,4.0,1.0,2.0,7.0,2.0,2.0,2.0,84.0,8658.0,6.0,5.0,1965.0,1965.0,101.0,643.0,0.0,445.0,1324.0,0.0,0.0,1324.0,0.0,0.0,2.0,0.0,6.0,1.0,1965.0,0.0,138.0,0.0,0.0,0.0,0.0,0.0,12.0,2006.0,20.0,440.0,160000.0,1.0,3.0,1088.0,3.0,12.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,13.0,1.0,1.0,1.0,4.0,1.0,8.0,0.0
1.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,0.0,3.0,1.0,2.0,7.0,2.0,2.0,1.0,115.0,16905.0,5.0,6.0,1959.0,1959.0,0.0,967.0,0.0,383.0,1328.0,0.0,0.0,1328.0,0.0,1.0,1.0,1.0,5.0,2.0,1959.0,0.0,104.0,0.0,0.0,0.0,0.0,0.0,7.0,2007.0,20.0,308.0,170000.0,1.0,2.0,1350.0,3.0,23.0,2.0,2.0,2.0,1.0,4.0,0.0,1.0,12.0,2.0,1.0,1.0,4.0,1.0,8.0,4.0
1.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,7.0,2.0,2.0,2.0,78.0416174870588,9180.0,5.0,7.0,1983.0,1983.0,0.0,747.0,93.0,0.0,884.0,0.0,0.0,884.0,1.0,0.0,1.0,0.0,5.0,0.0,1983.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2007.0,85.0,504.0,144000.0,1.0,2.0,840.0,3.0,20.0,2.0,2.0,6.0,1.0,1.0,0.0,1.0,6.0,2.0,1.0,1.0,4.0,1.0,8.0,4.0
